,LC_name,Autocor_length,Beyond1Std,CAR_sigma,CAR_mean,CAR_tau,Con,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PairSlopeTrend,PercentAmplitude,Q31,Rcs,Skew,SlottedA_length,SmallKurtosis,Std,StetsonK_AC,Amplitudes,amp1,amp_2_1_ratio,amp_3_1_ratio
15,exampledata_46.ascii,124.0,0.4007029876977153,10.0,117667.37620133568,0.5,0.0,-0.14865557483587333,inf,58833.68810066784,1.5938676250694267e-06,0.08147400000598282,0.19859402460456943,0.9666666666666667,2.7623629619212803e-06,0.16262199999619043,0.43325426200791006,0.004900771038062205,0.0,-1.196716921440833,0.09377311072708684,0.0,0.09431049999999885,14180.210383999998,7.13997569600768e-05,8.426595594681572e-05
16,exampledata_7.ascii,111.0,0.4107142857142857,10.0,117667.39850494047,0.5,0.0,-0.08712929594828174,inf,58833.69925247024,1.5061752957090256e-06,0.07591150000007474,0.19047619047619047,0.9666666666666667,2.7233798012577254e-06,0.15153224999812664,0.43439312739514724,-0.022980766794677285,1.0,-1.1722021585525626,0.08861386436924523,1.0,0.05011299999999963,11684.324334,0.0001943086321595596,0.0001796506784635733
17,exampledata_62.ascii,125.0,0.4105263157894737,10.0,117667.37648286665,0.5,0.0,-0.4352042641872576,263103.99972737895,58833.68824143332,1.5934912576761697e-06,0.08131099999809521,0.19824561403508772,0.9666666666666667,2.7575272837000535e-06,0.1623407499937457,0.43334705836919707,0.001490981310478565,1.0,-1.1972733490992156,0.09375096786956927,1.0,0.09842550000000116,14141.278779,0.0003025566352900221,0.00033968107546189985
18,exampledata_27.ascii,96.0,0.4230769230769231,10.0,117667.40220646605,0.5,0.0,-1.0708961470464027,27188.999972413178,58833.70110323303,1.6100893622088339e-06,0.08043700000052922,0.19230769230769232,0.9666666666666667,3.055697351509876e-06,0.16144299999723444,0.4329040824000347,-0.18304067902863747,0.0,-1.1853471254043726,0.09472751628568962,0.0,0.13679549999999985,10046.507245,0.0015031207950271408,0.000762436026950591
19,exampledata_41.ascii,123.0,0.4067495559502664,10.0,117667.37937360923,0.5,0.0,-0.11848786094871129,124706.9998708411,58833.68968680462,1.587000042892523e-06,0.0805739999996149,0.20071047957371227,0.9666666666666667,2.782147438003945e-06,0.16091650000453228,0.43273797249378015,-0.016281882051389796,0.0,-1.1870649957512418,0.09336906805648432,1.0,0.1431754999999999,14020.585487,0.0003055747382091662,0.0002610776488261161
20,exampledata_39.ascii,123.0,0.4103019538188277,10.0,117667.37775527177,0.5,0.0,0.23108893571415834,124706.9998708411,58833.68887763588,1.598119577535916e-06,0.08170300000347197,0.19715808170515098,0.9666666666666667,2.7725951144534517e-06,0.16319550000480376,0.43367488875584986,-0.012428276417648933,0.0,-1.202532225459848,0.09402327001400698,0.0,0.11265449999999966,13986.185755,0.00013485159464247002,0.0002479634734977933
21,exampledata_58.ascii,124.0,0.4112478031634446,10.0,117667.3767210123,0.5,0.0,-0.5141258269436152,inf,58833.68836050615,1.5941587682608716e-06,0.08148899999650894,0.19859402460456943,0.9666666666666667,2.7532525085992187e-06,0.16262199999619043,0.4332914601480006,-0.0016544660559543493,0.0,-1.1976011185274185,0.09379024016902847,0.0,0.058759499999998965,13875.391548999996,0.0001246745176567658,0.00010135973160682348
22,exampledata_20.ascii,125.0,0.4200351493848858,10.0,117667.37650869244,0.5,0.0,-0.2775878229194775,inf,58833.68825434622,1.5948822904305948e-06,0.08148899999650894,0.1968365553602812,0.9666666666666667,2.7532525085992187e-06,0.16262199999619043,0.4336611003191969,0.0010776927269496228,1.0,-1.2004142448622233,0.09383280747757128,1.0,0.23333599999999954,13679.427202999997,0.004408624455455191,0.0009519005699514424
23,exampledata_65.ascii,114.0,0.41904761904761906,10.0,117667.38498704763,0.5,0.0,-0.26117573142679507,191646.9998026432,58833.69249352381,1.593927382653926e-06,0.08109899999544723,0.20761904761904762,0.9666666666666667,2.8407361515235525e-06,0.16143999999621883,0.4319871069174436,-0.04394249897648395,1.0,-1.189922602690892,0.09377663348806835,1.0,0.07852049999999977,13053.987221,0.0002024774187107634,0.00011463948498591578
24,exampledata_22.ascii,104.0,0.42379958246346555,10.0,117667.396285929,0.5,0.0,0.47938367113108665,17108.000043201,58833.6981429645,1.6047027691834898e-06,0.08065299999725539,0.20041753653444677,0.9666666666666667,3.021856308477856e-06,0.16091649999725632,0.43256481724319473,-0.15055110239235994,1.0,-1.1748802688106594,0.09441059833132068,1.0,0.3101649999999996,11543.865750999998,0.004421125492497831,0.002123902497569233
25,exampledata_67.ascii,124.0,0.40669014084507044,10.0,117667.37654053874,0.5,0.0,0.3091840185499572,inf,58833.68827026937,1.5922563580803754e-06,0.08102999999755411,0.198943661971831,0.9666666666666667,2.7575272837000535e-06,0.16177825000340817,0.4331015083644875,0.0019033789203825476,0.0,-1.1927525270496837,0.09367831421765521,0.0,0.0751584999999988,13939.991849000002,6.295042883762454e-05,0.00022657297886339136
26,exampledata_2.ascii,125.0,0.42105263157894735,10.0,117667.37648286665,0.5,0.0,-1.9781597749744733,inf,58833.68824143332,1.5934912576761697e-06,0.08131099999809521,0.19824561403508772,0.9666666666666667,2.7575272837000535e-06,0.1623407499937457,0.43334705836919707,0.001490981310478565,0.0,-1.1972733490992156,0.09375096786956927,0.0,0.06521000000000043,11716.101225,0.0008724822042858023,0.0004085814386153959
27,exampledata_43.ascii,125.0,0.4087719298245614,10.0,117667.37648286665,0.5,0.0,0.3429574774311784,inf,58833.68824143332,1.5934912576761697e-06,0.08131099999809521,0.19824561403508772,0.9666666666666667,2.7575272837000535e-06,0.1623407499937457,0.43334705836919707,0.001490981310478565,0.0,-1.1972733490992156,0.09375096786956927,0.0,0.06538549999999965,13896.934404,0.00011928898280685626,7.499011730630781e-05
28,exampledata_6.ascii,125.0,0.42280701754385963,10.0,117667.37648286665,0.5,0.0,1.3073511796677935,62691.999935070606,58833.68824143332,1.5934912576761697e-06,0.08131099999809521,0.19824561403508772,0.9666666666666667,2.7575272837000535e-06,0.1623407499937457,0.43334705836919707,0.001490981310478565,0.0,-1.1972733490992156,0.09375096786956927,0.0,0.11260599999999954,12612.909404,0.0015955711846005179,0.0007544327347085387
29,exampledata_47.ascii,125.0,0.4105263157894737,10.0,117667.37648286665,0.5,0.0,-0.08720963381081481,inf,58833.68824143332,1.5934912576761697e-06,0.08131099999809521,0.19824561403508772,0.9666666666666667,2.7575272837000535e-06,0.1623407499937457,0.43334705836919707,0.001490981310478565,0.0,-1.1972733490992156,0.09375096786956927,0.0,0.06427399999999928,13920.318225,0.0001015679141214383,5.391617983268948e-05
30,exampledata_26.ascii,125.0,0.42280701754385963,10.0,117667.37648286665,0.5,0.0,-0.41948198287612626,8259.999997942585,58833.68824143332,1.5934912576761697e-06,0.08131099999809521,0.19824561403508772,0.9666666666666667,2.7575272837000535e-06,0.1623407499937457,0.43334705836919707,0.001490981310478565,1.0,-1.1972733490992156,0.09375096786956927,1.0,0.2348220000000012,13673.941810999997,0.004621467309186166,0.0005923609426121477
31,exampledata_63.ascii,124.0,0.4166666666666667,10.0,117667.37644344682,0.5,0.0,-0.6210225329246478,inf,58833.68822172341,1.6017389478830983e-06,0.08215850000124192,0.18971631205673758,0.9666666666666667,2.758054166055268e-06,0.16402699999889592,0.43506590021697594,0.0020456101833838634,0.0,-1.2154474440021228,0.09423620987234549,0.0,0.056453499999999934,13676.488835,0.00012567973685169182,0.00016076997716115766
